周期,日期,竞品品牌,追踪维度（单选）,事实描述,分析,信息源
49周,1764604800000,科大讯飞,市场与营销,"助力打造AI产业新高地
《科大讯飞人工智能产业生态共建计划》发布",11月28日下午，科大讯飞（嘉兴）人工智能生态合作大会在南湖区举行。会上，南湖区与科大讯飞共同发布《科大讯飞人工智能产业生态共建计划》，标志着南湖区在布局人工智能产业生态、推动区域经济高质量发展方面迈出关键一步。《科大讯飞人工智能产业生态共建计划》面向嘉兴本地科技企业，提供十亿token技术支持，并在投资、市场、管理等多维度提供资源支持。科大讯飞产业加速中心浙沪区域总经理鲁兴年在发布仪式上介绍，该计划将通过技术开放、投资孵化、联合空间、市场赋能四大举措，为区域内中小企业提供全方位支持，加速培育人工智能创新生态。,https://jxrb.cnjxol.com/jxrbPaper/pc/content/202512/01/content_269716.html
50周,1765123200000,新华三,市场与营销,新华三集团坚持“小场景有大价值”。“我们希望，如果要做智能体，让它只做1厘米宽、1公里深的闭环场景。它应该更深地嵌入到整个工业场景里面。,依托“工业智能体生态计划”，新华三集团将广泛联合产业链伙伴共建解决方案，在未来的3到5年联合推出一系列智能体，推动工业智能体从概念走向落地、从单点应用走向系统创新,https://mp.weixin.qq.com/s/Ni7QIJOhQvFbnkBIp_jN1A
50周,1765123200000,浪潮,市场与营销,浪潮软件1.79亿中标青岛北区政务新基建项目,浪潮中标，既凭其深耕政务信息化的全栈能力（从政务云架构到数据中台，方案适配“跨域协同、智能调度”需求），更借本地化服务禀赋（近场响应保障系统迭代与运维）,https://mp.weixin.qq.com/s/QqGWcoKvN9_SuXnuYrmGXw
50周,1765123200000,联想,市场与营销,两年半增长175%！联想ISG中国在算力赛道跑出「加速度」原创 联想集团 联想集团 2025年12月5日 18:28 北京,联想此次推出的“AI工厂”解决方案，建立了一整套可管理、可复制、可持续运营的标准化体系， 重塑AI应用的开发与部署流程，将原本复杂且孤立的AI开发流程标准化、流水线化，使AI不再是“实验室工程”，而是“生产系统”。这也标志着企业级AI建设从“试验性部署”迈向“工业化体系”。,https://mp.weixin.qq.com/s/2iziihQLBAwltww_M0pfpg
50周,1765123200000,新大陆,公司与战略,新大陆发布“AI+产教融合平台”，助力构建高质量就业新生态,通过构建产教融合供需服务平台，实现产业、院校两端数据适配，赋能管理产教融合建设任务，可视化呈现多方运营数据和产教融合成果,https://mp.weixin.qq.com/s/g7ytgJWixUD9ND3ilEa7Ug
50周,1765123200000,阿里,产品与技术,阿里千问办公能力升级：支持生成、排版、编辑、格式转化一站式操作，所有用户免费开放,阿里千问推出面向办公与写作场景的全新能力，将文档生成、智能排版等整合为一站式操作，全新的 PPT 生成能力上线，可基于多种输入内容精准提炼、智能匹配模版，上述能力向所有用户免费开放，用户只需与千问对话，千问就能自动生成排版后的 Word 文档，实现从思考到成稿一步直达。,https://www.ithome.com/0/902/540.htm
50周,1765123200000,字节跳动,产品与技术,字节跳动将于 2026 年发布搭载自研芯片的 PICO 新品,据报道，新品将搭载全链路自研的头显专用芯片，能够低延迟、高精度地实现对高清高帧率视频的实时处理，系统延迟为 12 毫秒左右。据悉，PICO 自研芯片于 2022 年 6 月立项，2024 年完成回片，目前已进入量产阶段，各项指标均达到设计要求。此外，PICO 新品还将启用定制 MicroOLED，其屏幕 PPI 近 4000，接近 iPhone17 Pro Max 的 9 倍；平均 PPD 达到 40，中心区域超过 45，相比 Pico3 提升了一倍多。,https://www.ithome.com/0/900/197.htm
50周,1765123200000,科大讯飞,市场与营销,科大讯飞携手印尼金光集团，共拓AI赋能教育新蓝海,科大讯飞与印尼综合性财团金光集团达成战略合作，面向智慧教育领域与金光集团旗下Asix公司签订合作协议，启动印尼智慧教育应用项目，携手共谋印尼数字教育创新发展。此次战略合作，聚焦印尼积极推进数字经济转型升级的重要方向，科大讯飞将依托在人工智能领域的技术优势和实践经验，推动印尼数字教育高质量发展。未来，双方还将在更多领域探索合作可能。,https://finance.sina.com.cn/roll/2025-12-05/doc-infztyiw9810016.shtml
50周,1765123200000,腾讯,产品与技术,腾讯混元 2.0 上线 推理能力与效率业界领先,腾讯混元最新版语言模型 Tencent HY 2.0 Think 和 Tencent HY 2.0 Instruct 正式发布。HY 2.0 采用混合专家（MoE）架构，总参数 406B，激活参数 32B，支持 256K 上下文窗口，推理能力与效率居国内顶尖行列，在实用场景表现突出。相比上一版本，HY 2.0 Think 改进预训练数据和强化学习策略，在复杂推理场景综合表现居国内第一梯队，泛化性大幅提升。,https://tech.ifeng.com/c/8oqVAmpzy1J
50周,1765123200000,科大讯飞,市场与营销,"2025年12月4日，南京大学正式发布了《南京大学基于AI大模型的智能问答系统成交公示》，宣布科大讯飞股份有限公司中标，金额高达646,000元。",此次中标的智能问答系统，旨在为南京大学的师生提供更为高效的学习和研究支持。通过AI大模型的技术，系统将能够快速解答学生和教师在学习过程中遇到的各种问题，提高教学效率和学习体验。,https://zb.nju.edu.cn/cjgsfw/138957.chtml
50周,1765123200000,超星,市场与营销,“超星杯”第七届全国高校混合式教学设计创新大赛全国总决赛在汉落幕,大赛共吸引了全国551所高校报名，覆盖全部学科门类。大赛分为校内初赛、全国复赛、全国决赛三个阶段。通过初赛参加全国复赛的共有1362门参赛课程，其中本科1195门，高职167门，参赛教师及团队成员共计5110人。经过激烈角逐，最终入围全国现场决赛的共有来自77所高校的82门参赛课程，其中本科赛道72门，高职赛道10门。大赛致力于挖掘、培育并展示教师的课程建设及教学设计成果，促进高校深化教育教学改革，推进课程改革与创新，实现“以赛促建、以赛促用、以赛促教改”的目的。大赛鼓励参赛教师确立以学生为中心的教学理念，产出导向、持续改进，提升课程的高阶性、创新性、挑战度。,https://news.hbtv.com.cn/p/4567880.html
51周,1765728000000,新华三,市场与营销,零感知、零丢失！新华三护航上海申通地铁数据中心迁移项目圆满交付,下新华三集团凭借深厚的技术积累与丰富的实战经验，助力申通地铁实现了1300余台虚拟机、180多个业务系统、300多台物理设备的平滑迁移，全程达成业务零中断、数据零丢失、用户零感知的高标准交付，为上海轨道交通的数字化运营奠定了更加安全、稳定、高效的基础。,https://mp.weixin.qq.com/s/UquI2Gq3uU9g3UhbtjiTbQ
51周,1765728000000,浪潮,市场与营销,浪潮海岳HCM携手中国航信共筑人力资源数智化新基座,中国民航信息集团有限公司（以下简称“中国航信”）与浪潮海岳HCM联合打造的新一代人力资源管理系统建设项目（一期）顺利完成验收，标志着中国航信在人力资源数智化转型中构建起标准化、一体化的人力管理体系，实现从“传统人力管理”向“数智人力运营”的关键跃迁，为行业转型树立标杆,https://mp.weixin.qq.com/s/xdRNwyHnMt_wj3mQQ7g_kw
51周,1765728000000,联想,市场与营销,"北京市经信局""信息软件企业行业模型首方案奖励","由联想方案服务选送的营销智能体项目成功入选北京市""高精尖产业发展项目""，获评北京市经济和信息化局""信息软件企业行业模型首方案奖励""",https://mp.weixin.qq.com/s/OieeTs4xrPhQU-344mb8Og
51周,1765728000000,新大陆,市场与营销,新大陆软件受邀出席多样性算力产业发展大会，分享异构算力调度与交易相关实践,新大陆软件构建的异构算力纳管调度平台，具备“聚、调、管、看、用”五大核心能力，支持跨云、跨域、跨架构的算力统一接入与管理。平台通过标准化纳管、智能化调度、自动化运维和一站式服务，实现从资源分散到“一张图”统筹的转变。,https://mp.weixin.qq.com/s/lv_Zg7rYZ2hgnM67iVYAbA
